topic,term,beta
2,vokse,1.2857941599351796e-4
3,vokse,9.103793464494412e-4
4,vokse,0.0018661100932238757
5,vokse,9.238492465971007e-4
6,vokse,0.001756895463748591
7,vokse,3.3858959232663775e-4
8,vokse,9.697651049294697e-4
1,voksen,1.4111912206253636e-4
2,voksen,1.0531331298260843e-14
3,voksen,0.002453888718516244
4,voksen,4.1917754813126986e-8
5,voksen,1.678990338873421e-8
6,voksen,5.53730277774655e-9
7,voksen,3.2169107527655846e-4
8,voksen,7.503743364771816e-4
1,aftale,1.1590515674932128e-4
2,aftale,0.0024606508291753833
3,aftale,4.616370687057252e-4
4,aftale,0.0025815978022440313
5,aftale,0.002711968378148752
6,aftale,0.002777220034396728
7,aftale,1.0910261934330968e-5
8,aftale,3.4452408029167096e-4
1,arbejdsmarked,3.255482722132349e-4
2,arbejdsmarked,2.868429315731533e-16
3,arbejdsmarked,9.98524444585455e-4
4,arbejdsmarked,9.125654675017727e-5
5,arbejdsmarked,0.001329252152450882
6,arbejdsmarked,0.0010227176289584299
7,arbejdsmarked,4.3534580628695817e-4
8,arbejdsmarked,4.617751662928644e-5
1,både,0.003527405827590553
2,både,0.0028509617404924533
3,både,0.003315988433958659
4,både,0.0024230265770346254
5,både,0.0030597828530486855
6,både,0.0031278628713873116
7,både,0.004781150114632291
8,både,0.004355686568376744
1,C,1.8049605705697512e-9
2,C,1.0440896593740393e-5
3,C,3.905052636260523e-6
4,C,1.7660556661261796e-6
5,C,0.0028186318392681158
6,C,9.095420454030945e-5
7,C,2.175215926033505e-5
8,C,5.997592841142575e-4
1,Danmark,0.014239885444693935
2,Danmark,0.008178534587215042
3,Danmark,0.0018956876515449656
4,Danmark,0.001664687802030092
5,Danmark,0.009911407994197197
6,Danmark,0.013719476326493629
7,Danmark,0.01166334496602961
8,Danmark,0.0036457733152630845
1,drøm,1.7821596286643727e-8
2,drøm,8.516516874287479e-4
3,drøm,3.3831466605067223e-4
4,drøm,5.224197237843863e-4
5,drøm,4.967996171472624e-4
6,drøm,6.153980383243238e-4
7,drøm,2.9940407715049955e-5
8,drøm,5.314715754702556e-4
1,droppe,3.7928930909156196e-4
2,droppe,4.523137085071645e-4
3,droppe,6.317781622468708e-5
4,droppe,7.619408055126071e-10
5,droppe,8.780205383114528e-4
6,droppe,4.235835362387278e-4
7,droppe,1.783651785539602e-5
8,droppe,3.2250359441586e-4
1,forsvar,1.3271539201647906e-4
2,forsvar,7.396270220992776e-4
3,forsvar,4.982844666651798e-5
4,forsvar,3.217783179416004e-8
5,forsvar,2.5248461550196827e-4
6,forsvar,7.134983493084085e-4
7,forsvar,0.001931047602364757
8,forsvar,3.055370457032704e-4
1,fremgå,6.416312304925954e-4
2,fremgå,1.989632901185265e-5
3,fremgå,6.939866652376115e-5
4,fremgå,1.2132554394175711e-4
5,fremgå,1.422693222439202e-5
6,fremgå,7.497766816111181e-4
7,fremgå,0.0023463999917702027
8,fremgå,1.3687809443264682e-5
1,grund,0.002257564481388281
2,grund,0.001185330363039474
3,grund,0.0012176857429558637
4,grund,0.001021094996266806
5,grund,0.0017729288259630532
6,grund,0.0030918793122340885
7,grund,0.0033708947032507334
8,grund,0.002792240592580682
1,hidtil,1.6789981761078715e-4
2,hidtil,3.7319877006298743e-4
3,hidtil,3.801159112984718e-4
4,hidtil,8.730066874638284e-4
5,hidtil,3.438935455220093e-4
6,hidtil,5.232584388168238e-4
7,hidtil,4.990969782521516e-4
8,hidtil,2.470362264487043e-4
1,holde,0.0029652718002614355
2,holde,0.004474655645093862
3,holde,0.004163753381728482
4,holde,0.0030387902301737117
5,holde,0.001167767136103812
6,holde,0.0043118960751664034
7,holde,0.0026021911940833533
8,holde,0.0025878735421995917
1,hoved,6.861309306304128e-6
2,hoved,0.0011478707192467475
3,hoved,9.115141487729733e-4
4,hoved,5.875225218106032e-4
5,hoved,1.0913737880559599e-4
6,hoved,1.0587105506443453e-4
7,hoved,0.0013351338207839248
8,hoved,5.308486439308657e-4
1,inden,0.0016125620285082458
2,inden,5.370192587854009e-4
3,inden,2.836700347743665e-4
4,inden,4.175783906850517e-7
5,inden,2.508876812554808e-4
6,inden,0.0016045224735182727
7,inden,0.001048554554210401
8,inden,0.0014691797271671977
1,initiativ,5.533502628526965e-4
2,initiativ,8.094556044798224e-5
3,initiativ,2.2157098867793216e-5
4,initiativ,3.402814060556319e-6
5,initiativ,5.536615068710819e-4
6,initiativ,6.459615405541477e-4
7,initiativ,1.0579730728631765e-5
8,initiativ,2.0301520739876382e-4
1,Kina,1.1085448868357755e-4
2,Kina,5.276849786314609e-13
3,Kina,1.9004696732953725e-6
4,Kina,9.91435957360218e-4
5,Kina,9.643404894511359e-4
6,Kina,2.7316173589394204e-4
7,Kina,0.013511090461620452
8,Kina,4.3548475546160775e-4
1,kinesisk,1.5176338474816922e-10
2,kinesisk,2.4191447267653774e-21
3,kinesisk,4.955363648495951e-11
4,kinesisk,2.400241170167199e-10
5,kinesisk,3.302883305032027e-5
6,kinesisk,3.246000180178025e-4
7,kinesisk,0.006740600820421104
8,kinesisk,4.4784259732931237e-4
1,konsekvens,0.0011488236174534564
2,konsekvens,1.799335158295752e-5
3,konsekvens,0.0010004330952995196
4,konsekvens,3.5940038027439873e-4
5,konsekvens,5.03173326038151e-4
6,konsekvens,0.0011058740093503007
7,konsekvens,0.0014767095687295202
8,konsekvens,1.2111252037116352e-4
1,krone,0.0012665231747606969
2,krone,0.004748439817186107
3,krone,2.616449840682363e-5
4,krone,6.402219273883355e-6
5,krone,0.004342734102192178
6,krone,0.01426564971878294
7,krone,0.0014184414259880743
8,krone,2.4652120527792203e-4
1,langt,0.0017143847094781743
2,langt,0.0015625920365880128
3,langt,0.0017031614544265087
4,langt,0.0019122512867978474
5,langt,0.0018949165173572481
6,langt,0.002433307384268423
7,langt,0.0026414859778024808
8,langt,0.0023533851065968376
1,Lars,6.714027887128144e-4
2,Lars,5.114073210752435e-4
3,Lars,2.866729549302334e-6
4,Lars,1.2859848153177179e-11
5,Lars,0.0021320168674653027
6,Lars,0.0017463592878535846
7,Lars,7.884500328865035e-4
8,Lars,9.391726757750156e-4
1,leve,0.003207372725773036
2,leve,0.0017469529269588334
3,leve,0.0012080099866844027
4,leve,0.0010420282974650278
5,leve,0.0023369061867183553
6,leve,9.701918570465297e-4
7,leve,2.520972988551865e-5
8,leve,0.003123040783924353
1,lyde,0.002950335968486853
2,lyde,0.002396277176850538
3,lyde,2.3726300791025663e-4
4,lyde,0.00178747012996221
5,lyde,0.0032382259450242563
6,lyde,0.002740008762378683
7,lyde,0.003924542109300787
8,lyde,9.801876047152295e-4
1,million,0.002373537138744507
2,million,0.003912172278387607
3,million,7.144061544848503e-5
4,million,8.191635362073065e-4
5,million,0.0037449186378259516
6,million,0.004796154450582032
7,million,0.0022046898156047167
8,million,7.838868513173918e-4
1,ministerium,5.632690157254298e-7
2,ministerium,1.051460813871545e-22
3,ministerium,4.3648516675234873e-17
4,ministerium,2.372128730461311e-18
5,ministerium,0.0010139354202393293
6,ministerium,3.769596806270363e-5
7,ministerium,0.0024433042294247117
8,ministerium,3.913778169783751e-7
1,møde,0.0016151368422092866
2,møde,0.003617195169315282
3,møde,0.00538102088446518
4,møde,0.0024819675924153545
5,møde,6.178186090947673e-4
6,møde,0.0017298728627873987
7,møde,0.0019549833158420135
8,møde,0.0015584671232023795
1,mulig,0.0010134861615377713
2,mulig,7.377342146157117e-4
3,mulig,7.907360357862592e-4
4,mulig,6.463129545966744e-4
5,mulig,0.00126887385592041
6,mulig,0.0019412651874043372
7,mulig,0.0033693510248488357
8,mulig,0.0022940540088452694
1,økonomisk,6.490775457140145e-4
2,økonomisk,7.342016551029556e-4
3,økonomisk,3.1019636978570807e-4
4,økonomisk,0.0023365511374950107
5,økonomisk,0.0033388012205505455
6,økonomisk,0.0029776276170613678
7,økonomisk,0.0013645728804726706
8,økonomisk,9.142064005570774e-4
1,oplysning,1.1304427827091248e-4
2,oplysning,8.726946468015512e-4
3,oplysning,2.8260029215991593e-4
4,oplysning,1.1840587337389362e-4
5,oplysning,6.59560313309434e-4
6,oplysning,2.0951692755405292e-7
7,oplysning,0.0039115578632223725
8,oplysning,1.34389851202206e-4
1,oprør,1.0387094521089895e-6
2,oprør,2.350254228792544e-11
3,oprør,9.618358845760898e-6
4,oprør,5.145212919923824e-4
5,oprør,6.180855549228492e-4
6,oprør,3.54906640124098e-8
7,oprør,0.0014308920207672783
8,oprør,1.0940122322480698e-4
1,presse,2.2105923299769824e-4
2,presse,0.0012596194627686886
3,presse,4.310402567931935e-4
4,presse,6.751643151040235e-4
5,presse,0.0016887620308003825
6,presse,0.001481489081591938
7,presse,0.0019701045798532087
8,presse,7.639256958916371e-5
1,ramme,0.0016952649690361533
2,ramme,0.002539111659169925
3,ramme,0.0010648933758589862
4,ramme,0.0010570218545425034
5,ramme,0.0022497181628781462
6,ramme,0.003429494827521998
7,ramme,0.0014655741665171673
8,ramme,0.0011236475575191953
1,regning,7.936937610184913e-12
2,regning,3.2544461322062113e-4
3,regning,2.2949624940517667e-4
4,regning,5.968244638851823e-5
5,regning,7.89579790920128e-4
6,regning,6.5149532962282e-4
7,regning,2.1283921426684744e-4
8,regning,1.103580090884569e-9
1,sætte,0.0029714752204641416
2,sætte,0.003626206320457234
3,sætte,0.0030572416815400974
4,sætte,0.003281257117604288
5,sætte,0.006010491331077775
6,sætte,0.003600805163724156
7,sætte,0.0014500350110656834
8,sætte,0.0036532953178800964
1,sikre,9.800540055117373e-4
2,sikre,0.0014693419361761655
3,sikre,0.001377765198264599
4,sikre,0.0014321798515458954
5,sikre,0.0020889772124996616
6,sikre,0.002571414938755258
7,sikre,0.0010528979404826762
8,sikre,3.2120747947124364e-4
1,stat,0.0024577257655179928
2,stat,2.609621683784099e-10
3,stat,6.888444573831205e-6
4,stat,0.0025094916948812255
5,stat,0.0019435872873760363
6,stat,0.0014188881786274354
7,stat,0.004012447278949774
8,stat,7.822662334507686e-4
1,syg,5.547713036631938e-4
2,syg,2.3000867918708762e-4
3,syg,7.909884974391289e-4
4,syg,5.698013068162429e-7
5,syg,6.590637171202046e-4
6,syg,4.000075090433928e-5
7,syg,1.5731811200215134e-5
8,syg,5.711436375839573e-4
1,vigtig,0.003047683997471174
2,vigtig,0.0020333453530139867
3,vigtig,0.001604056490452724
4,vigtig,0.0020825975507572573
5,vigtig,0.0029596547504679876
6,vigtig,1.7528138471201287e-4
7,vigtig,0.0022206133749473112
8,vigtig,0.00206071491084055
1,vild,2.1832003018179187e-8
2,vild,0.0013759789133068283
3,vild,7.287537259117423e-9
4,vild,5.069823420655305e-4
5,vild,4.4905845327992586e-4
6,vild,1.7205224325124351e-4
7,vild,7.049112361658512e-4
8,vild,9.091554357835725e-4
1,Aalborg,3.1248182459626625e-4
2,Aalborg,2.288566860889342e-18
3,Aalborg,4.1764955018941825e-4
4,Aalborg,1.594612535369003e-5
5,Aalborg,3.8805205527056086e-4
6,Aalborg,6.213452546998473e-4
7,Aalborg,9.01534950413154e-4
8,Aalborg,9.82903357962143e-7
1,Aarhus,0.00308751519118594
2,Aarhus,1.311198605766396e-8
3,Aarhus,1.2786309338265123e-6
4,Aarhus,1.7139099117516215e-7
5,Aarhus,1.9976854886315735e-7
6,Aarhus,0.018371904315567227
7,Aarhus,0.0018350939761402189
8,Aarhus,4.384842042731313e-4
1,acceptere,3.108168075299926e-4
2,acceptere,1.427175184923641e-4
3,acceptere,5.186898094542551e-4
4,acceptere,4.456568132613938e-5
5,acceptere,4.0297948018522863e-4
6,acceptere,8.514749225291831e-5
7,acceptere,4.925914538408228e-4
8,acceptere,8.008395582437684e-4
1,afgøre,3.065735352909236e-4
2,afgøre,8.149396857907627e-4
3,afgøre,5.380677756156834e-5
4,afgøre,0.0010273117105803926
5,afgøre,7.698344552073382e-4
6,afgøre,5.43454472079e-4
7,afgøre,3.292550843252424e-4
8,afgøre,8.2981901373451e-5
1,afvise,4.0923389695169126e-4
2,afvise,5.630634488403566e-4
3,afvise,3.4126039990929044e-5
4,afvise,9.026289222222396e-4
5,afvise,0.00293534542847418
6,afvise,2.643911019460426e-4
7,afvise,0.0041317699747875705
8,afvise,9.860351215948327e-5
1,alder,3.5937579643295804e-4
2,alder,3.904496765107586e-4
3,alder,0.001371308028759026
4,alder,7.866073274296488e-5
5,alder,3.249344101286993e-5
6,alder,2.0235571875195098e-4
7,alder,4.4656766642547625e-4
8,alder,4.2292953952190453e-4
1,amerikansk,6.205677162844371e-4
2,amerikansk,3.754058767137889e-4
3,amerikansk,8.611989223519734e-4
